metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,537.0,0.20094889697592833,0.4033333333333333,small
duration,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,529.0,0.24581380245894136,0.4122222222222222,small
duration,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,488.0,0.5792942105819812,0.4577777777777778,negligible
duration,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,440.0,0.8883028421533887,0.5111111111111111,negligible
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,525.0,0.07496554926934103,0.5833333333333334,small
score,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,464.5,0.7798823600499194,0.5161111111111111,negligible
score,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,466.0,0.7119255776793713,0.5177777777777778,negligible
score,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,385.0,0.10646775998843079,0.42777777777777776,small
score,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,434.0,0.7120049725415356,0.4822222222222222,negligible
score,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,491.5,0.36663720690965584,0.5461111111111111,negligible
score,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,478.0,0.5605726663242456,0.5311111111111111,negligible
score,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,611.0,0.0018026978365852239,0.6788888888888889,medium
score,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,420.0,0.5290694016283926,0.4666666666666667,negligible
score,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,400.0,0.2780169425406096,0.4444444444444444,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,426.0,0.7282652959955469,0.5266666666666666,negligible
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,282.0,0.013271804739910291,0.6866666666666666,medium
duration,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,354.0,0.1579756891505133,0.6066666666666667,small
duration,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,342.0,0.11198687208268976,0.62,small
duration,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,458.0,0.9117089753194283,0.4911111111111111,negligible
duration,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,457.0,0.9234421319782358,0.4922222222222222,negligible
duration,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,409.0,0.5493267842679926,0.5455555555555556,negligible
duration,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,302.0,0.029205409568445008,0.6644444444444444,medium
duration,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,449.0,0.9941019213254952,0.5011111111111111,negligible
duration,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,339.0,0.10232626822732968,0.6233333333333333,small
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,540.0,0.024637367273325803,0.6,small
score,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,487.0,0.4396591172109029,0.5411111111111111,negligible
score,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,461.0,0.8022815248545466,0.5122222222222222,negligible
score,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,198.0,8.964077567049113e-06,0.22,large
score,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,426.0,0.5914484139553746,0.47333333333333333,negligible
score,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,454.5,0.9343132207018279,0.505,negligible
score,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,342.0,0.054103000459057346,0.38,small
score,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,504.5,0.34822689509532834,0.5605555555555556,small
score,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,510.0,0.09051316930480797,0.5666666666666667,small
score,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:3b),30,30,494.0,0.17969056600105604,0.5488888888888889,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,500.0,0.46427291062161524,0.4444444444444444,negligible
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,310.0,0.03916706803882588,0.6555555555555556,medium
duration,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,423.0,0.6952153990669099,0.53,negligible
duration,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,477.0,0.6952153990669099,0.47,negligible
duration,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,507.0,0.40353753915408586,0.43666666666666665,small
duration,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,519.0,0.31118764341027494,0.42333333333333334,small
duration,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,307.0,0.03513659994217983,0.6588888888888889,medium
duration,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,231.0,0.001236184563209011,0.7433333333333333,large
duration,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,458.0,0.9117089753194283,0.4911111111111111,negligible
duration,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,228.0,0.0010575543184782395,0.7466666666666667,large
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,540.0,0.024637367273325803,0.6,small
score,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,484.0,0.47790356585909266,0.5377777777777778,negligible
score,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,445.0,0.9181378411306573,0.49444444444444446,negligible
score,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,199.0,9.627007357877517e-06,0.22111111111111112,large
score,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,510.0,0.041895709819865144,0.5666666666666667,small
score,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,454.5,0.9343132207018279,0.505,negligible
score,nn.modules.rnn,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,301.0,0.009942735933190828,0.33444444444444443,medium
score,transformers.data.metrics.squad_metrics,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,426.0,0.6975783497682853,0.47333333333333333,negligible
score,transformers.pipelines.text_generation,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,465.0,0.7289111253290059,0.5166666666666667,negligible
score,transformers.tokenization_utils_base,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:7b),30,30,412.0,0.39303756353828145,0.4577777777777778,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5-coder:3b),30,30,395.0,0.4203863296078133,0.5611111111111111,small
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:1.5b),Model experiment (qwen2.5-coder:3b),30,30,350.0,0.14127750644049156,0.6111111111111112,small
